Timestamp,First and Last Name,How are you doing today?,Why are you feeling that way?
8/30/2018 11:08,89,Option 4,I feel that way because today is a little boring
8/30/2018 11:08,97,Excellent!,Everything just seems to be going right today.
8/30/2018 11:09,2,Fair,I'm really tired
8/30/2018 11:09,33,Good,Its a pretty average day.??
8/30/2018 11:09,56,Option 4,My day had a rough start. Its complicated
8/30/2018 11:09,60,Fair,I feel that way because my stomach hurts and I'm a bit frustrated for no good reason.
8/30/2018 11:09,101,Good,because i got to talk to my friends but it was really boring
8/30/2018 11:10,7,Excellent!,I feel excellent because today is good.
8/30/2018 11:10,55,Good,"Because someone I knew from elementary school joined DATA, but I lost my journal, so it wasn't perfect."
8/30/2018 11:10,78,Good,i had already lost some thing that was important 
8/30/2018 11:12,98,Option 4,I lost my schedule so now I have remember where I have to go next. 
8/30/2018 12:45,44,Good,I talked to ms. riojas
8/30/2018 12:45,50,Excellent!,Today feels good because I am excelling in almost every class
8/30/2018 12:45,62,Good,I am anxious for the weekend
8/30/2018 12:46,87,Excellent!,Today was a good day so far
8/30/2018 12:46,114,Good,I feel good because I played on my bass today.
8/30/2018 12:46,123,Good,I am not option 4 anymore! I went to band and Kyler beat me in soccer...
8/30/2018 12:46,126,Fair,Because i'm at school
8/30/2018 12:47,31,Fair,Nothing bad nor good has happened today.
8/30/2018 12:47,77,Option 4,I have had a rough morning
8/30/2018 12:47,82,Excellent!,I get to go to this class twice.
8/30/2018 12:47,83,Option 4,because people annoy me and i have crutches 
8/30/2018 12:47,93,Good,I feel good because I want to eat lunch.
8/30/2018 12:48,7,Excellent!,Because today is still good.
8/30/2018 12:48,15,Option 4,So far things are not going according to plan.
8/30/2018 12:48,38,Good,I'm tired and sore
8/30/2018 12:48,41,Good,i am hungry 
8/30/2018 12:49,43,Excellent!,I feel that way because nothing bad has happen to me today and I hope nothing bad happens to me today.
8/30/2018 12:50,20,Excellent!,i feel excellent because today was a good day 
8/30/2018 12:52,79,Option 4,I don't know 
8/30/2018 14:11,31,Fair,Because nothing extremely bad happened nor anything extremely good.
8/30/2018 14:12,17,Excellent!,"Because I got a mighty ""Oh Yeah""."
8/30/2018 14:12,35,Option 4,Option 4
8/30/2018 14:12,51,Good,nothing bad has happened yet.
8/30/2018 14:12,65,Good,Im tired and lunch just passed by
8/30/2018 14:12,85,Excellent!,Because the day is almost over.
8/30/2018 14:12,121,Good,Because i'm tired but my day has been going good so far. 
8/30/2018 14:13,25,Excellent!,I had a pretty good and fun/funny lunch.
8/30/2018 14:13,37,Good,Because i'm in a good mood today.
8/30/2018 14:13,43,Excellent!,Because nothing bad has happen to me today and hopefully me day kees to be going great.
8/30/2018 14:14,4,Fair,"The reason why I feel this way is because I know I have had a good day so for, but after school when I go to Volleyball tryouts I will be hurting because of what we are doing."
8/30/2018 14:14,8,Fair,I am kinda of tired and the day feels really slow.
8/30/2018 14:14,11,Fair,"I've had better days, this one has been a little rough."
8/30/2018 14:14,19,Excellent!,Because the day is almost over which means football 
8/30/2018 14:14,77,Option 4,"personal stuff
"
8/30/2018 14:14,107,Good,I feel this way because my classes have been easy so far and the work I do is not too hard.
8/30/2018 14:15,12,Excellent!,Because nothing bad happened today.
8/30/2018 14:15,66,Excellent!,I dont know
8/30/2018 14:15,75,Fair,Because I feel fair and ok
8/30/2018 14:18,64,Option 4,"I feel like option 4 because some parts of the day I felt pretty good, but other parts of the day I felt like curling up into a ball , going to sleep, and never wake up again."
8/30/2018 15:00,92,Fair,I'm tired
8/30/2018 15:01,87,Excellent!,Because today has been a good day.
8/30/2018 15:02,14,Option 4,Because im lonely
8/30/2018 15:02,20,Good,i am just a little bored 
8/30/2018 15:02,22,Good,Good things and Bad things happened
8/30/2018 15:02,54,Excellent!,"Today's been doing pretty well! Not much interesting has happened, which is always great."
8/30/2018 15:02,105,Excellent!,"Because during lunch I found all my friends, and i like all my classes"
8/30/2018 15:03,21,Option 4,im still tired
8/30/2018 15:03,46,Good,"My day's been pretty good, lunch was nice. It's just been a good day."
8/30/2018 15:03,81,Option 4,because
8/30/2018 15:03,102,Excellent!,cuz im kool
8/30/2018 15:03,104,Fair,I am a little bored
8/30/2018 15:03,119,Good,I feel tired but happy that I'm going home soon.
8/30/2018 15:03,122,Good,because nothing bad or good has happened today
8/30/2018 15:04,9,Good,Today was a good day
8/30/2018 15:04,13,Good,Today has been pretty mediocre and not too eventful.
8/30/2018 15:04,23,Good,because my day has been a normal day and nothing exceptional happened
8/30/2018 15:04,68,Excellent!,Woke up one the RIGHT side of the bed
8/30/2018 15:04,108,Excellent!,because the day is almost over
8/30/2018 15:04,125,Fair,because my day as been that way
8/30/2018 15:05,117,Fair,i woke up
8/30/2018 15:06,18,Fair,Really only because today has been slow.
8/31/2018 8:24,109,Good,no reason
8/31/2018 8:25,85,Option 4,Reasons
8/31/2018 8:25,90,Fair,Because I like home
8/31/2018 8:25,120,Excellent!,because i feel excellent
8/31/2018 8:26,5,Fair,I am tired
8/31/2018 8:26,14,Option 4,Because im tired
8/31/2018 8:26,21,Option 4,i woke up too early
8/31/2018 8:26,42,Option 4,"Worried, I lost the code to my locker in gym while washing my clothes"
8/31/2018 8:26,88,Fair,Because it's to early in the morning 
8/31/2018 8:26,96,Excellent!,becuase i got some sleep
8/31/2018 8:26,102,Excellent!,cuz im kool
8/31/2018 8:26,103,Excellent!,I feel excited 
8/31/2018 8:26,108,Good,I fell this way because i'm tired
8/31/2018 8:27,73,Fair,because I had an alright morning
8/31/2018 8:27,119,Fair,"I'm not in a bad mood, but I am tired."
8/31/2018 8:28,99,Good,"I feel this way, because today is a good day."
8/31/2018 8:28,116,Excellent!,I feel excellent because I finally got to see my friends yesterday and today.
8/31/2018 8:29,58,Excellent!,Because I am looking forward to the first weekend of school.
8/31/2018 8:29,59,Good,i got to see friends before class
8/31/2018 8:29,61,Option 4,Because i'm anxious 
8/31/2018 8:29,106,Option 4,same as yesterday
8/31/2018 8:30,29,Option 4,I just don't feel good today.
8/31/2018 8:30,52,Option 4,cuz of things
8/31/2018 8:31,25,Excellent!,Had a fun morning.
8/31/2018 8:47,32,Option 4,You won't listen to what I have to say. Obviously I'm not doing well.
8/31/2018 8:50,118,Good,because i feel like it i dont know 
8/31/2018 9:16,84,Option 4,Because I HATE school
8/31/2018 9:17,45,Excellent!,Because I have friends
8/31/2018 9:17,114,Fair,I feel this way because I didn't get enough sleep.
8/31/2018 9:18,30,Option 4,I'm just tired and sad.
8/31/2018 9:18,40,Option 4,Because im tired
8/31/2018 9:18,63,Option 4,cuz people make me mad
8/31/2018 9:18,70,Fair,because the day just started
8/31/2018 9:19,27,Fair,Because it is the morning 
8/31/2018 9:19,34,Option 4,I hurt my knee
8/31/2018 9:19,42,Option 4,still worried
8/31/2018 9:19,95,Good,I got to have time to myself and talk with my friends.
8/31/2018 9:19,111,Fair,Im still tired from football
8/31/2018 9:20,69,Option 4,I feel feels that I've never felt before.
8/31/2018 9:20,85,Option 4,I feel Option 5
8/31/2018 9:20,86,Excellent!,"I feel excellent, because this morning was fantastic. "
8/31/2018 9:20,93,Excellent!,I feel excellent because I am ready for the day. 
8/31/2018 9:21,28,Good,Everything has been fine so far today.
8/31/2018 9:30,49,Option 4,because im hungry and tired
8/31/2018 10:13,59,Option 4,why not?
8/31/2018 10:13,76,Option 4,I'm not really feeling today.
8/31/2018 10:13,123,Option 4,Well I have not do anything fun today and I want it to be my birthday.
8/31/2018 10:14,57,Excellent!,i love life
8/31/2018 10:14,61,Option 4,anxious and sad 
8/31/2018 10:14,72,Fair,im tired
8/31/2018 10:15,50,Fair,Math was not good
8/31/2018 10:15,62,Excellent!,I am exited for the weekend!
8/31/2018 10:15,71,Good,the first 2 periods were pretty good
8/31/2018 10:15,124,Option 4,Because I can.
8/31/2018 10:16,47,Good,normal day 
8/31/2018 10:16,113,Good,Today is Friday and I just want to speed through the day.
8/31/2018 10:19,10,Option 4,I want to go home
8/31/2018 10:52,100,Good,Because it is Friday and I get to stay at home all weekend.
8/31/2018 11:01,56,Excellent!,The sun is out and I'm alive
8/31/2018 11:01,120,Excellent!,because i feel excellent
8/31/2018 11:01,126,Fair,"I'm sleepy, tired, and wanna go home"
8/31/2018 11:02,24,Fair,I am not sure.
8/31/2018 11:02,44,Excellent!,I feel this wa because I haven't messed up
8/31/2018 11:02,60,Good,Nothing bad happened I guess.
8/31/2018 11:03,101,Excellent!,just because 
8/31/2018 11:05,7,Excellent!,Because I got to color today
8/31/2018 11:06,74,Fair,because im hungry
8/31/2018 11:06,89,Fair,tired and my brain don't work
8/31/2018 11:06,97,Fair,I am tired and hungry.
8/31/2018 11:09,33,Option 4,i have a mild headache and my nose is stuffed.
8/31/2018 11:11,78,Option 4,i had to wake up at 5 and i got sick
8/31/2018 11:14,55,Good,"I don't know. I just feel relaxed and am excited for a sleepover, but I don't feel over-the-top happy"
8/31/2018 11:14,98,Excellent!,I just feel Excellent.
8/31/2018 12:32,17,Excellent!,Because I got told that I am going to enroll in diving classes.
8/31/2018 12:39,126,Fair,I'm sleepy and tired
8/31/2018 12:42,44,Excellent!,I haven't done anything bad.
8/31/2018 12:43,62,Excellent!,I am exited for the weekend!
8/31/2018 12:43,114,Option 4,I haven't had food.
8/31/2018 12:43,123,Option 4,Lunch is next period.
8/31/2018 12:44,7,Excellent!,Because I started my day off well
8/31/2018 12:44,15,Excellent!,Nothing has gone wrong and it's Friday.
8/31/2018 12:44,20,Good,because i am tired 
8/31/2018 12:44,41,Good,i'm sleepy 
8/31/2018 12:44,50,Good,because it is a good day
8/31/2018 12:44,87,Excellent!,It was a funny day
8/31/2018 12:44,93,Good,I am ready to get work done.
8/31/2018 12:45,31,Fair,Nothing good nor bad has happened today.
8/31/2018 12:45,38,Good,I'm tired and sore again and hungry
8/31/2018 12:45,43,Excellent!,Because today is friday
8/31/2018 12:45,79,Option 4,dont know
8/31/2018 12:45,82,Excellent!,6th period is my favorite
8/31/2018 12:45,83,Option 4,i dont wanna be here 
8/31/2018 12:46,77,Option 4,more personal stuff
8/31/2018 12:52,82,Excellent!,because i get to go to the same class
8/31/2018 14:07,65,Good,because
8/31/2018 14:08,35,Option 4,SMART goals aren't Rice-a-Roni
8/31/2018 14:08,77,Fair,my stomach hurts
8/31/2018 14:09,19,Good,Im getting really tired 
8/31/2018 14:09,107,Good,I feel this way because I'm ready for the 3-day weekend.
8/31/2018 14:09,121,Fair,I don't really know.
8/31/2018 14:10,8,Good,Because It's Friday
8/31/2018 14:10,31,Fair,Because nothing incredibly good nor bad happened today
8/31/2018 14:10,37,Good,Because it's a good day
8/31/2018 14:10,43,Excellent!,Because its friday and it is a 3 day weekend
8/31/2018 14:11,11,Excellent!,Because everything is going pretty good and I've had a good lunch
8/31/2018 14:11,51,Good,Nothing bad has happened yet
8/31/2018 14:12,4,Good,"Because yesterday I was able to let somethings go that I was holding back, so I really don't have anything bad with me."
8/31/2018 14:12,12,Excellent!,Nothing bad has happened.
8/31/2018 14:16,25,Excellent!,had a good lunch with good people
8/31/2018 14:23,75,Good,its a better day today
8/31/2018 14:25,64,Good,I feel good because it is almost the weekend.
8/31/2018 14:26,66,Good,Im godd but im mad because i have homework but the teacher only put it up today and expects us to do it in one whole day but some of us might need 2 days
9/4/2018 8:27,14,Option 4,BEcause of moises
9/4/2018 8:27,90,Option 4,Because i just do
9/4/2018 8:27,102,Excellent!,kuz im kool
9/4/2018 8:28,88,Fair,Morning time
9/4/2018 8:28,108,Fair,I'm tierd
9/4/2018 8:29,21,Fair,"The day hasn't been too bad, I like the weather."
9/4/2018 8:29,85,Excellent!,I feel this way because Its the start of the day.
9/4/2018 8:29,96,Excellent!,I don't know
9/4/2018 8:29,109,Good,no reason
9/4/2018 8:29,120,Good,because i feel good
9/4/2018 8:30,52,Excellent!,I feel this way because of some of the people that I saw in the morning.
9/4/2018 8:30,58,Excellent!,Because I want to start my week off happy.
9/4/2018 8:31,29,Option 4,I woke up early today
9/4/2018 8:31,103,Excellent!,Because I feel very energetic 
9/4/2018 8:31,116,Option 4,I feel mad because I walked in the rain to school and I'm soaking wet.
9/4/2018 8:32,5,Option 4,im tired
9/4/2018 8:32,25,Good,I'm tired but I had a good day yesterday
9/4/2018 8:32,42,Option 4,Option 4
9/4/2018 8:32,59,Option 4,I wanted to stay in bed.
9/4/2018 8:32,73,Fair,I had a good morning but I missed my bus
9/4/2018 8:32,99,Fair,"I feel this way, because I am tired and I want to go back to bed. Also, I want to go home. :)"
9/4/2018 8:33,106,Option 4,same as the last 2 times
9/4/2018 8:34,32,Option 4,Option 4 is better than excellent
9/4/2018 8:34,119,Good,It's been a good morning so far.
9/4/2018 12:41,126,Fair,I'm still sleepy and now i'm cold
9/4/2018 12:42,44,Option 4,I got wet.
9/4/2018 12:42,87,Good,It be rainy and I am just always happy
9/4/2018 12:43,20,Good,classroom does not work 
9/4/2018 12:43,62,Good,"I am anxious for Friday, but otherwise, good"
9/4/2018 12:43,123,Good,It is close to the end of the day.
9/4/2018 12:44,50,Fair,It is school
9/4/2018 12:44,93,Excellent!,It stoped raining and I am ready for lunch.
9/4/2018 12:45,41,Good,I feel sick because of the rain 
9/4/2018 12:45,43,Option 4,I got to walk home and it my be raining outside.
9/4/2018 12:45,77,Option 4,"I don't know, rain gets me in this type of mood"
9/4/2018 12:45,82,Option 4,I feel better than excellent.
9/4/2018 12:45,114,Fair,I still haven't had lunch.
9/4/2018 12:46,15,Good,Nothing has gone wrong so far.
9/4/2018 12:46,31,Fair,Just do.
9/4/2018 12:46,79,Option 4,don't
9/4/2018 12:47,7,Excellent!,It rained.
9/4/2018 12:47,38,Good,"I'm wet, cold, hungry and sore."
9/5/2018 8:23,90,Option 4,Because...
9/5/2018 8:24,102,Excellent!,kuz pinaples
9/5/2018 8:25,109,Good,No reason
9/5/2018 8:26,14,Option 4,because of eirik
9/5/2018 8:26,106,Option 4,same as yesterday
9/5/2018 8:27,29,Option 4,Rough night.
9/5/2018 8:27,85,Fair,Because people are annoying.
9/5/2018 8:27,96,Excellent!,I don't know
9/5/2018 8:27,108,Fair,i'm tierd
9/5/2018 8:28,5,Fair,Its the morning and I'm tired
9/5/2018 8:28,52,Good,because of seeing my friends today
9/5/2018 8:28,58,Good,Because I have all of my work under control
9/5/2018 8:28,88,Good,We were looking at memes in the gym
9/5/2018 8:28,99,Good,"I feel this way, because I get to see another day. :)"
9/5/2018 8:29,21,Option 4,I need another day off
9/5/2018 8:29,25,Good,I got free starbucks last night and got tacos this morning then joked with friends I am a little tired though.
9/5/2018 8:29,73,Good,Because had a good morning to start off the day.
9/5/2018 8:29,103,Good,Didn't have that good of sleep
9/5/2018 8:30,32,Option 4,Because it's better than excellent.
9/5/2018 8:30,59,Option 4,got up late.
9/5/2018 8:30,119,Option 4,I'm not sure of how I feel.
9/5/2018 8:47,26,Fair,I'm so tired i feel weak
9/5/2018 8:53,118,Excellent!,um i just am 
9/5/2018 9:09,42,Option 4,"Our Father, Who art in heaven"
9/5/2018 11:02,120,Good,because i feel good
9/5/2018 12:39,7,Excellent!,I have already been in this class
9/5/2018 12:41,41,Excellent!,I get to find out what team i'm going to be in today. 
9/5/2018 12:41,87,Option 4,I am just really tired
9/5/2018 12:41,123,Option 4,The Earth stopped spinning.
9/5/2018 12:41,126,Fair,I'm tired
9/5/2018 12:42,15,Excellent!,Destiny two Forsaken has recently released and everything has been going as planned.
9/5/2018 12:42,31,Fair,N/A
9/5/2018 12:42,38,Good,I'm hungry and a little cold
9/5/2018 12:42,62,Fair,I do not want to talk about why I'm not good or anxious but I am exited for Friday
9/5/2018 12:42,77,Fair,I don't know
9/5/2018 12:42,114,Option 4,I am hungry.
9/5/2018 12:43,44,Good,Because it is just a normal day.
9/5/2018 12:43,50,Fair,i have no headphones
9/5/2018 12:43,83,Fair,just cause today's been i don't know okay i guess 
9/5/2018 12:44,20,Good,tired
9/5/2018 12:44,43,Good,Because I don't really know why
9/5/2018 12:44,79,Option 4,dont know
9/5/2018 12:44,82,Option 4,I did something stupid in 3rd period.
9/5/2018 12:44,93,Good,I am ready for lunch.
9/6/2018 8:26,42,Fair,m y f e e t h u r t 
9/6/2018 8:26,102,Excellent!,kuz mathz
9/6/2018 8:26,120,Excellent!,because i feel good
9/6/2018 8:27,90,Option 4,Because...
9/6/2018 8:28,108,Fair,I'm tired
9/6/2018 8:28,109,Option 4,No reason
9/6/2018 8:29,14,Option 4,BEcause Aiden smacked my head
9/6/2018 8:30,58,Good,Because I have nothing to worry about.
9/6/2018 8:30,88,Fair,Because nothing happened so far
9/6/2018 8:30,106,Option 4,same as yesterday
9/6/2018 8:30,119,Fair,I am tired and want to go to orchestra.
9/6/2018 8:32,25,Fair,My stomach hurts but i had fun with friends this morning
9/6/2018 8:32,29,Option 4,I just don't feel good.
9/6/2018 8:32,59,Option 4,im tired
9/6/2018 8:32,85,Good,Theres a game.
9/6/2018 8:32,96,Good,I don't know
9/6/2018 8:33,5,Good,because I ate a cinnamon roll 
9/6/2018 8:33,21,Option 4,I want to stay home im tired
9/6/2018 8:33,32,Option 4,Because Idk
9/6/2018 8:34,99,Fair,"I feel this way, because I am tired today."
9/6/2018 8:35,103,Good,I don't know
9/6/2018 8:37,73,Excellent!,Because I GOT GOOD CINNAMON ROLLS!!!!!!
9/6/2018 8:42,116,Fair,I feel this way because we have a game today and we're going to do badd.
9/6/2018 8:56,118,Good,the day just started
9/6/2018 10:12,91,Option 4,Im tired and pretty happy.
9/6/2018 10:13,57,Excellent,because i can
9/6/2018 10:13,123,Option 4,Remove option 4 and add option 8.
9/6/2018 10:14,71,Fair,We hve out first game today and jkfehvbjkdvbiwe
9/6/2018 10:14,100,Option 4,Because I don't want to be at school.
9/6/2018 10:14,124,Option 4,Because I can.
9/6/2018 10:15,10,Fair,I'm not as sick.
9/6/2018 10:15,50,Good,"Im happy, but i'm kindsa hungry"
9/6/2018 10:15,59,Option 4,Option 8
9/6/2018 10:15,62,Excellent,I am exited for tomorrow
9/6/2018 10:15,72,Fair,im a bit tired
9/6/2018 10:15,76,Option 4,I don't wanna be here and I'm nervous about our first volleyball game today.
9/6/2018 10:16,39,Excellent,I got enough sleep last night. 
9/6/2018 10:16,112,Good, i dont know
9/6/2018 10:17,47,Fair,because am good
9/6/2018 10:21,32,Option 4,idk
9/6/2018 10:21,82,Option 4,I feel this way because option 4 is mathematically correct in its current location in the choices above.
9/6/2018 10:21,113,Option 4,Because I do not want the day to go by slowly today.
9/6/2018 11:01,89,Fair,it has been a regular day
9/6/2018 11:01,120,Good,no reason
9/6/2018 11:02,24,Excellent,"I have a volleyball game today, I'm excited. "
9/6/2018 11:02,74,Excellent,Because we have a game today 
9/6/2018 11:03,2,Option 4,I have a headache 
9/6/2018 11:03,44,Good,because you keep asking the same question
9/6/2018 11:03,60,Fair,I'm feeling this way because I am very tired.
9/6/2018 11:03,98,Excellent,Because it's Thursday.
9/6/2018 11:03,110,Excellent,My last period was super funny.
9/6/2018 11:04,97,Fair,I am tired and sore but I'm better than yesterday.
9/6/2018 11:05,53,Option 4,Cause i always feel this way.
9/6/2018 11:05,78,Good,i got to take a nap when i got to my mom's friends house  today
9/6/2018 11:06,7,Excellent,Because today is excellent 
9/6/2018 11:10,56,Excellent,I found my old shoes and now I am wearing them.
9/6/2018 11:12,33,Option 4,sore throat
9/6/2018 11:12,56,Excellent,Because Im happy...
9/6/2018 11:16,55,Fair,"I just feel mostly normal but little upset (My sister put food in the bathroom trash can, which has NO lid and anything that is over a foot tall can get stuff out, and my dog started eating it, and I have allergies.)"
9/6/2018 11:16,101,Fair,just because 
9/6/2018 12:43,15,Excellent!,Nothing has gone wrong.
9/6/2018 12:43,41,Excellent!,Today is our first volleyball game. 
9/6/2018 12:43,87,Fair,I'm still tired
9/6/2018 12:43,123,Option 4,Add option 5.
9/6/2018 12:44,62,Good,I am exited for tomorrow
9/6/2018 12:44,77,Option 4,Because some of my friends
9/6/2018 12:44,93,Good,I want luch.
9/6/2018 12:45,31,Fair,N/A
9/6/2018 12:45,38,Good,"I'm cold, sore, and hungry"
9/6/2018 12:45,114,Option 4,I want lunch.
9/6/2018 12:47,79,Option 4,i just fell like it 
9/6/2018 12:48,43,Option 4,Because I having allergies today 
9/6/2018 12:49,82,Excellent!,I feel this way because . I've made progress in my classes.
9/6/2018 12:54,44,Option 4,I left my cleats and football pants in my last class.
9/6/2018 14:02,121,Fair,Because I cried.
9/6/2018 14:04,31,Fair,N/A
9/6/2018 14:05,4,Good,"Because I was able to be with my friend, and I had a great time when I was with him at lunch."
9/6/2018 14:05,35,Excellent,Thurdsay
9/6/2018 14:05,65,Excellent,It my birthday
9/6/2018 14:05,107,Good,I'm feeling this way because nothing eventful happened.
9/6/2018 14:06,8,Good,I had a hot fudge sundae poptart
9/6/2018 14:06,51,Excellent,Today has been really great
9/6/2018 14:06,77,Option 4,stuff
9/6/2018 14:07,12,Excellent,Nothing bad happened. YET.....
9/6/2018 14:07,19,Good,because i want to go play fortnite right now 
9/6/2018 14:07,25,Good,I had a really good lunch but my stomach hurts really bad
9/6/2018 14:07,37,Good,I am happy
9/6/2018 14:07,81,Option 4,I AM SAD
9/6/2018 14:08,43,Option 4,I am having allergies today 
9/6/2018 14:08,64,Option 4,I've had a lot on my mind lately.
9/6/2018 14:08,75,Fair,I dont really Know actually its because my step sisters exposed me 
9/6/2018 14:11,17,Excellent,I feel this way because it was the first day that I actually trained in athletics class.
9/6/2018 14:13,85,Excellent,I feel this way because I have a game.
9/6/2018 14:17,11,Excellent,Because life is going good for the moment
9/6/2018 14:54,23,Option 4,It was a normal day
9/6/2018 14:55,92,Excellent,It is a good day.
9/6/2018 14:55,105,Good,because today was a normal day
9/6/2018 14:56,22,Good,Nothing fun happened today.
9/6/2018 14:56,68,Good,I got a bad score on my test
9/6/2018 14:56,87,Fair,I tired
9/6/2018 14:56,108,Excellent,Because I'm awesome
9/6/2018 14:56,119,Option 4,Because I want to go home.
9/6/2018 14:57,14,Option 4,Bobby was bullying me 
9/6/2018 14:57,54,Fair,"Meh, today really hasn't been that great. First, I accidentally took someone else's backpack instead of my own in 2nd period, and by the time I put it back, they thought their backpack was missing. Second, during my 4th period (PE), I accidentally did the sit-up exercise instead of the leg-stretches exercise, and everyone harassed me for it."
9/6/2018 14:57,104,Good,Because It has been a fun day.
9/6/2018 14:57,117,Option 4,I'm Sick and congested
9/6/2018 14:57,122,Good,Because today is doing good but not really good
9/6/2018 14:57,125,Option 4, because i hurt my finger 
9/6/2018 14:58,13,Option 4,"I don't know man, i'm feeling kind of option 4 today."
9/6/2018 14:58,18,Excellent,Because I learned how to open my gym lock
9/6/2018 14:58,21,Option 4,I am so tired and want the day to be over
9/6/2018 14:58,102,Excellent,pookimon
9/6/2018 14:59,9,Option 4,Why not
9/6/2018 14:59,46,Fair,"Today had a really tough start, wasn't doing the greatest, plus I missed 2 days in a row. But my friends helped me feel better so it's not as bad. "
9/6/2018 16:15,66,Good,idk y
9/7/2018 8:21,42,Good,My heels still hurt but at least it's the weekend
9/7/2018 8:23,120,Good,i dont know
9/7/2018 8:24,102,Fair,i slept 0 last night
9/7/2018 8:25,90,Option 4,We have been through this
9/7/2018 8:26,29,Option 4,I have a headache.
9/7/2018 8:26,58,Good,I am tired.
9/7/2018 8:26,88,Option 4,Because why not
9/7/2018 8:26,96,Excellent!,I don't know
9/7/2018 8:26,103,Good,I don't know i just feel good
9/7/2018 8:26,108,Option 4,I'm tired
9/7/2018 8:26,109,Good,It's my dad's b-day
9/7/2018 8:26,119,Option 4,I'm nervous but excited for orchestra.
9/7/2018 8:27,14,Excellent!,.
9/7/2018 8:27,21,Fair,its friday
9/7/2018 8:27,25,Excellent!,I have had a good and fun morning and my mom got me tacos
9/7/2018 8:28,59,Option 4,it's friday 
9/7/2018 8:28,106,Option 4,same as yesterday
9/7/2018 8:29,32,Option 4,idk
9/7/2018 8:30,5,Option 4,Im tired and thirsty
9/7/2018 8:30,52,Option 4,because option three wast that good
9/7/2018 8:31,99,Fair,"I feel this way, because I am still tired."
9/7/2018 8:35,73,Fair,I feel fair because I was late for the bus again and missed breakfast 
9/7/2018 8:35,85,Excellent!,We lost the volleyball game.
9/7/2018 8:44,26,Option 4,I'm not feeling good once again. 
9/7/2018 8:47,116,Excellent!,I feel this way because it's friday.
9/7/2018 8:49,26,Option 4,sick
9/7/2018 8:50,26,Option 4,idk
9/7/2018 8:50,26,Option 4,sick
9/7/2018 9:03,52,Good,because of my friends
9/7/2018 9:55,49,Good,Because I wannt at school this day
9/7/2018 10:06,67,Fair,Not really sure just an off day.
9/7/2018 10:12,62,Excellent,ITS'S FRIDAY!
9/7/2018 10:12,71,Good,I found out I might be able to go see The Phantom of The Opera in December and I love The Phantom of the Opera
9/7/2018 10:12,123,Excellent,It is friday.
9/7/2018 10:13,32,Option 4,idk
9/7/2018 10:13,100,Fair,Because it's Friday but i have work.
9/7/2018 10:13,112,Good,i dont know
9/7/2018 10:13,124,Option 4,Because I can.
9/7/2018 10:14,50,Option 4,I am very tired cause my cat woke me up like six times last night
9/7/2018 10:14,72,Good,Its FRiday
9/7/2018 10:15,32,Option 4,idk
9/7/2018 10:15,91,Excellent,Theater arts was fun today.
9/7/2018 10:16,26,Option 4,sick
9/7/2018 10:16,39,Excellent,I got enough sleep last night.
