Timestamp,Name,How are you doing today?,Why do you feel that way?
8/29/2019 15:00,3,Option 306,I'm furious at a kid who found a way to make my girlfriend so mad that she now has to visit the councilor for coping skills. 
9/3/2019 15:00,3,Option 306,I'm just a depressed potato who hates herself and her life.
9/5/2019 8:29,3,Option 306,Cause Option 306.
9/9/2019 15:10,3,Option 306,"Cause ""I'm feelin' option 306"" should be a shirt and it isn't."
9/10/2019 15:00,3,Option 306,I feel option 306 cause teachers really like to point out how weird I am.
9/11/2019 14:58,3,Option 306,I feel option 306 cause I felt like crying during lunch and I didn't understand why.
9/12/2019 15:07,3,Option 306,I feel option 306 cause I got to play around with my friend in math.
9/13/2019 15:01,3,Option 306,"I had trouble making my friend feel better but she eventually opened up and told me so it's been a rollercoaster. Last night I ate a little too much and it got me sick so, currently going through it."
9/16/2019 15:00,3,Option 306,Im feeling option 306 cause I gotta get to a therapy appointment I don't wanna go to.
9/18/2019 14:58,3,Option 306,Im feeling option 306 cause while I was trying to come to class I got trapped between a group of girls and a guy was going to walk the wrong direction so I almost tripped me and one of the girls in the group.
9/19/2019 20:15,3,Option 306,Im feelin option 396 cause OUR HOUSE FLOODED AND BROKE A BUNCH OF STUFF AND ON TOP OF THAT I HAVE TO GET MORE COUNSELING. MY LIFE IS SO BROKEN I SWEAR! 
9/20/2019 15:07,3,Option 306,"I feel option 306 cause yesterday was probably the WORST day I have ever had. At the same time, today wasn't that bad; my girlfriend put a ring on my finger, and no I'm not just saying that cause of Beyonce."
9/23/2019 15:01,3,Option 306,Me and my girlfriend had a very happy moment together so it made my day so much better but Mrs. Stubbins was being quite annoying.
9/24/2019 15:00,3,Option 306,I feel option 306 cause I didn't eat lunch and I'm really hungry.
9/25/2019 14:58,3,Option 306,I feel option 306 because my friend had to go to tutorials and we couldn't watch Happy Tree Friends together.
9/26/2019 15:02,3,Option 306,I feel option 306 cause me and my girlfriend had a cute moment this morning and I want to watch Steven Universe.
9/27/2019 14:58,3,Option 306,I feel option 306 cause life's been pretty good to me.
9/30/2019 14:58,3,Option 306,I feel option 306 because during 3rd period I felt like I was going to have a breakdown for no particular reason.
10/1/2019 15:18,3,Option 306,I feel option 306 cause I had to meet with a new counselor at school.
10/2/2019 15:04,3,Option 306,I am feeling option 306 cause during the pep rally I screamed really loud and my throat still hurts. I also somehow managed to bruise my elbow yesterday so that's also fantastic.
10/9/2019 15:03,3,Option 306,"I feel option 306 because I have More Than Survive (it's from the Broadway musical Be More Chill, it's a little inappropriate though) stuck in my head, along with a massive headache that. I've been having headaches everyday for a while now and it sucks."
10/10/2019 14:59,3,Option 306,I just like picking the option 306 button most of the time.
10/11/2019 13:21,3,Option 306,I feel option 306 because I sort of just like clicking the option 306 option.
10/15/2019 14:58,3,Option 306,I feel option 306 because me and my girlfriend had an argument but we were able to forgive each other.
10/16/2019 14:59,3,Option 306,I feel option 306 because I finally got to talk with Ava Ruiz after a while.
10/17/2019 15:00,3,Option 306,"I feel option 306 because I have felt a little out of it today, but I am making a new oc but it's my first furry oc since I was five years old."
10/18/2019 14:57,3,Option 306,I am feeling option 306 because my girlfriend walked with me to this class and finally got to see the Shrek Shrine.
10/21/2019 15:02,3,Option 306,I am feeling option 306 because I haven't eaten anything today and the weird mood swings I have made me feel empty.
10/22/2019 15:00,3,Option 306,I feel option 306 because I'm getting picked up again and I won't be able to hang out with friends and my girlfriend at the bus loop.
10/23/2019 13:11,3,Option 306,I am feeling option 306 because option 306.
10/24/2019 13:14,3,Option 306,I'm feeling option 306 because I'm surprised you haven't told me to choose another mood.
10/25/2019 14:59,3,Option 306,I am feeling option 306 because I'm going through one of my extreme lows and it's not going away.
10/29/2019 13:58,3,Option 306,I am feeling option 306 because I opened my scab during the math benchmark out of nervousness and now it hurts.
10/30/2019 14:05,3,Option 306,I am feeling option 306 because option 306.
10/31/2019 14:03,3,Option 306,I am feeling option 306 because i'm going through one of my lows right now and I don't know what to do.
11/1/2019 14:03,3,Option 306,I am feeling option 306 because today has been insanely busy.
11/4/2019 15:00,3,Option 306,"I am feeling option 306 because my head is imprisoning me, forcing me to look deep within my brain and dig up memories I'd rather not remember."
11/5/2019 14:59,3,Option 306,I am feeling option 306 because I've been writing in a journal all day.
11/7/2019 15:01,3,Option 306,I am feeling option 306 because my moods messed up and I actually looked like I was on something else.
11/12/2019 14:59,3,Option 306,I am feeling option 306 because I'm very proud of my option 306 streak.
11/13/2019 15:01,3,Option 306,"I am feeling option 306 because my girlfriend walks with me here and I feel bad because every time she does, she becomes late to Mr. Middletons class."
11/14/2019 15:10,3,Option 306,I am feeling option 306 because Alex saw my self harm scars and my fresh ones and she freaked out and I feel bad for it.
11/14/2019 15:10,3,Option 306,I am feeling option 306 because Alex saw my self harm scars and my fresh ones and she freaked out and I feel bad for it.
1/28/2020 9:52,4,Option 306,There is a lot going on at home right now causing me to feel like this. 
1/6/2020 9:13,4,Excellent,"I am feeling this way because I saw my friends, well the ones i didn't see or call over the break."
2/14/2020 9:05,4,Excellent,Today is an amazing day. 
9/20/2019 9:17,4,Excellent,I get to find out if I am cleared today.
10/25/2019 9:18,4,Excellent,I had soda this morning and we won our game yesterday.
9/26/2019 14:06,4,Excellent!,I am in a very good mood today because I can play in the volleyball game. 
8/22/2019 10:20,4,Excellent!,I feel excellent because my morning has been great !
9/12/2019 14:02,4,Excellent!,I feel this way because today has been amazing !
9/30/2019 14:16,4,Excellent!,"Today has just been a good and fun day, plus....... I have volleyball pictures today so I am excited for that."
2/14/2020 12:40,4,Excellent!,Today was actually a good overall day. 
9/27/2019 14:11,4,Excellent!,Today was just a really fun day.
1/6/2020 14:11,4,Excellent!,Today was a great day and I got to talk to everybody that I didn't talk to over the break.  
8/29/2019 14:10,4,Fair,I am feeling fair because my allergies are acting up.
9/4/2019 14:07,4,Fair,I am feeling this way because a lot of people are messing with me today.
8/27/2019 14:09,4,Fair,I am feeling this way because my knee is still bothering me.
8/26/2019 14:04,4,Fair,"I am feeling this way because sadness about no sports, still lingers in my soul."
10/10/2019 14:16,4,Fair,I am getting picked up to go to the hospital and I am going to miss the volleyball game.
9/16/2019 14:10,4,Fair,I am really tired today.
9/25/2019 14:13,4,Fair,I am still not really in the mood today. 
2/6/2020 12:33,4,Fair,I feel this way because I don't like people and they keep talking to me like we are friends.
10/16/2019 14:14,4,Fair,I feel this way because we got yelled at and a speech about what lunch does to us.
9/13/2019 14:15,4,Fair,Today just has not been good.
2/10/2020 14:07,4,Fair,Today sucked and i feel like absolute crap.
1/13/2020 14:04,4,Fair,I feel this way because people assume things including teachers especially when i'm working on my work and they want to say I wasn't . 
1/27/2020 9:13,4,Fair,I am feeling this way because everybody is dying .
1/30/2020 14:06,4,Fair,Nyimah still isn't here.
2/3/2020 9:16,4,Fair,I feel this way because i'm feeling sick. 
2/10/2020 9:12,4,Fair,I am feeling this way because I am about to fail a class so I can kiss track goodbye.
2/11/2020 9:55,4,Fair,My knees are in a lot of pain . 
2/18/2020 9:13,4,Fair,Today just isn't really eventful.
3/2/2020 8:42,4,Fair,Today just didn't start off as a good day .
3/4/2020 9:15,4,Fair,My morning didn't get off to a good start.
8/26/2019 9:19,4,Fair,I am feeling this way because I can no longer play sports.
8/27/2019 9:15,4,Fair,I am feeling fair because my knee is bothering me.
8/29/2019 9:15,4,Fair,I am feeling fair because my allergies are acting up.
9/4/2019 9:14,4,Fair,I am feeling this way because my morning has already bad.
9/13/2019 9:15,4,Fair,I'm feeling this ways because there's just a lot going on at home.
9/16/2019 9:16,4,Fair,I am feeling this way because I was almost late to school this morning.
9/19/2019 9:19,4,Fair,What happened on tuesday is still affecting me.
9/25/2019 9:16,4,Fair,"I'm not sure why I am feeling fair, I am just not really in the mood."
10/3/2019 9:15,4,Fair,I just found something out about my family today. 
10/10/2019 10:00,4,Fair,I am feeling this way because I am getting picked up early to go to the hospital
10/15/2019 9:17,4,Fair,I feel this way because my shoulder hurts alot.
9/9/2019 14:08,4,Good,I am feeling this way because I had a great weekend.
10/2/2019 14:16,4,Good,I am just excited to go to practice today.
10/3/2019 14:10,4,Good,I am just in a better mood now.
9/20/2019 14:12,4,Good,I feel this way because I get to see if I am cleared today.
9/3/2019 13:57,4,Good,I feel this way because I've been having a great day.
10/21/2019 14:44,4,Good,I feel this way because my shoulder does not hurt as much.
9/19/2019 14:22,4,Good,My day has been good because it got better as my day has gone on.
3/2/2020 14:21,4,Good,"My mom came for lunch so me and ""the homies"" ate together and me and Vanessa had a lot of fun together today."
10/15/2019 14:07,4,Good,My mom came for lunch today.
9/10/2019 14:09,4,Good,My mood changed after lunch because my friends made my laugh.
10/22/2019 14:11,4,Good,Nyimah and I passed eight levels in five minutes.
9/5/2019 14:09,4,Good,Today has been an amazing today.
1/8/2020 14:09,4,Good,I feel this way because I got a hug from my bestfriend and it made my day. 
1/7/2020 14:28,4,Good,I am feeling this way because i'm just in a neutral mood.
1/16/2020 14:04,4,Good,I feel good because I got a long hug from my favorite person and it was great.
9/3/2019 9:16,4,Good,I am feeling this way because my morning has been great so far.
9/5/2019 9:15,4,Good,I am feeling this way because this morning has actually been pretty good.
9/6/2019 9:19,4,Good,I am feeling this way because I found out I can start walking.
9/9/2019 9:19,4,Good,I am feeling this way because I had a good weekend.
9/26/2019 9:17,4,Good,I am excited for the game today since I can play.
9/27/2019 9:16,4,Good,I feel good because I felt like I did good at the game yesterday.
10/2/2019 9:17,4,Good,I feel this way because I am excited for the pep-rally today.
10/22/2019 9:16,4,Good,I am just in a good mood.
10/23/2019 9:12,4,Good,I am feeling this way because I got my math work done.
9/17/2019 14:17,4,Option 306,I can not bare the fact that I lost someone that was like a brother to me .
9/6/2019 14:09,4,Option 306,I feel this way because at lunch a learned that even your closest friends aren't really your friends.
10/1/2019 14:10,4,Option 306,I found out so many people that I used to call friends just talk about me behind my back all the time.
9/24/2019 14:15,4,Option 306,I have just been sad and feeling a certain way all day.
2/21/2020 14:19,4,Option 306,There is just too much going on right now.
1/7/2020 14:28,4,Option 306,"I feel this way because, MY FILES WON'T UPLOAD SO I CAN'T WORK ON MY WEBSITE THAT IS DUE TOMORROW. "
1/9/2020 9:15,4,Option 306,I am feeling this way because today is not my day.
1/16/2020 9:15,4,Option 306,I only have one more day left with Nyimah because she is moving so i'm losing my best friend. 
1/17/2020 14:07,4,Option 306,I feel this way because Nyimah Paige Benjamin is moving tomorrow and I won't get to see her for a very long while. 
1/21/2020 9:14,4,Option 306,I am feeling this way because Nyimah isn't here to make my days anymore.
1/22/2020 14:07,4,Option 306,I feel this way because Nyimah isn't here.
1/27/2020 14:09,4,Option 306,"My psychiatrist told me I need speech therapy, prescribed me pills for my mentality, and said my anxiety in 30% more increased than it was which is really scary.  "
2/12/2020 9:13,4,Option 306,Today is not my day at all and my knees hurt extremely bad. 
2/13/2020 9:13,4,Option 306,I just feel sick and my whole body is in pain .
2/21/2020 9:15,4,Option 306,A close friend of mine just commited suicide and it is bringing up all the memories and passings I've went through. 
2/24/2020 9:12,4,Option 306,I'm still not fully here mentally. 
2/28/2020 9:20,4,Option 306,"""It's"" still hitting me."
8/28/2019 9:16,4,Option 306,This morning has not been good.
9/11/2019 9:16,4,Option 306,I am feeling this way because I won't be able to make it to the A team game due to practice.
9/17/2019 9:57,4,Option 306,I am feeling this way because I just found out my cousin died this morning.
9/23/2019 10:01,4,Option 306,I'm feeling this way because I had to walk to school. 
9/24/2019 9:16,4,Option 306,I feel this way because I'm just not feeling it today.
10/9/2019 9:17,4,Option 306,"I found out I have another injury but, this time it is a rotator cuff injury in my shoulder."
10/11/2019 9:25,4,Option 306,I feel this way because my shoulder hurts a lot.
10/28/2019 8:17,4,Good,I am feeling this way because my head and stomach hurt .
10/29/2019 8:14,4,Good,"I am not really sure, I am just in a good mood."
10/30/2019 8:19,4,Option 306,I am feeling this way because I got in and argument with my sister today and she left. 
11/4/2019 9:18,4,Good,Today is just an overall good day and it is daylight savings so I got an extra hour of sleep. 
11/5/2019 8:52,4,Good,I am feeling this way because I got breakfast with my mom this morning.
11/6/2019 9:17,4,Option 306,"Today is not going to be my day, my morning has been the worst and I can't even keep my priorities together. "
11/8/2019 9:15,4,Fair,This week just hasn't been good at all. 
11/12/2019 9:19,4,Excellent,I am excited to show the new student around. 
11/13/2019 9:17,4,Option 306,I am sick but the bright side is that I get cleared for my injury today. 
11/14/2019 9:17,4,Fair,I got my blood drawn yesterday so my arms hurt really really bad.
10/25/2019 14:15,4,Good,I got some time to wind down on the field. 
10/28/2019 13:10,4,Fair,I am really tired today.
10/29/2019 13:11,4,Fair,I just found out I have to go to court soon. 
10/30/2019 13:10,4,Good,I get to go to the game today.
10/31/2019 13:06,4,Good,I feel this way because TODAY WAS AN ACTUAL OVERALL GOOD DAY :) !
11/1/2019 13:14,4,Fair,I am feeling this way because I just found out something .
11/4/2019 14:08,4,Good,I feel this way because today has been a good day. 
11/11/2019 9:37,4,Fair,I felt that way because my head was hurting and so was my stomach. 
11/6/2019 14:14,4,Option 306,My day hasn't gotten any better since this morning. 
11/8/2019 14:12,4,Option 306,My head is in excruciating pain at the moment.  
11/11/2019 14:29,4,Fair,I just feel this way today .
11/12/2019 14:07,4,Option 306,I just found a lot of stuff out at lunch. 
11/13/2019 14:01,4,Fair,"I have just been mad and irritated all day, and now lunch just made me even more mad because of things that took place."
11/14/2019 9:17,4,Fair,I got my blood drawn yesterday so my arms hurt really really bad.
11/13/2019 14:01,4,Fair,"I have just been mad and irritated all day, and now lunch just made me even more mad because of things that took place."
9/30/2019 9:21,4,Excellent,"I'm not really sure, I am just really happy and in a good mood today."
9/10/2019 9:58,4,Fair,I am feeling this way because I am just really tired today.
10/16/2019 9:16,4,Option 306,People keep hitting my shoulder purposely. 
8/22/2019 9:32,4,Excellent,I am feeling excellent because my morning has been great !
2/23/2021 11:05,6,Excellent!,Woke up good and feel good.
9/5/2019 10:56,5,Excellent,volley ball game later
9/5/2019 10:10,5,Excellent!,volleyball game today
9/6/2019 10:11,5,Good,MY CRUSH IS BACK
9/6/2019 10:58,5,Good,my crush is back
1/14/2020 10:54,5,Excellent,I just am.
1/21/2020 10:55,5,Excellent,The day is almost have over .??
2/5/2020 10:13,5,Excellent,I get to see my dad in a couple of hours.
2/14/2020 10:20,5,Excellent,My wrist is starting to hurt.
9/20/2019 10:49,5,Excellent,i get to see family later.
10/3/2019 10:55,5,Excellent,I get to bring my new ish phone on monday.
10/7/2019 10:54,5,Excellent,I got a new phone .
10/10/2019 10:26,5,Excellent,I did both of my assignments in 3rd period. 
10/11/2019 10:21,5,Excellent,My phone is not at 40 percent like yesterday it's at78%
10/16/2019 10:39,5,Excellent,I feel this way because I got a 80 on my test.
10/22/2019 11:00,5,Excellent,George isn't  here today.
10/23/2019 10:18,5,Excellent,I just learned how to fix a website.
10/24/2019 10:15,5,Excellent,Tomorrow i get to go and volunteer at my little sisters thingy.
8/28/2019 10:12,5,Excellent!,beacuse i have my apple juse
10/16/2019 10:11,5,Excellent!,I am excited for practice later.
8/29/2019 10:15,5,Excellent!,i am excited for the feald trip towmaro
2/13/2020 10:15,5,Excellent!,I can sorta use my right hand again.
2/12/2020 10:12,5,Excellent!,I get to go to a doctor appointment later for my arm. 
9/20/2019 10:13,5,Excellent!,I get to see my cousin and his family. 
2/5/2020 9:40,5,Excellent!,I get to see my dad later.
10/3/2019 10:10,5,Excellent!,I got a new pone last night.
10/7/2019 10:13,5,Excellent!,I got a phone and i get the case on wednesday.
2/6/2020 9:42,5,Excellent!,I just do.
10/18/2019 10:10,5,Excellent!,I just took  picture with a sloth.
9/13/2019 10:11,5,Excellent!,I might go to skate land.
2/14/2020 9:45,5,Excellent!,I the most amazing friends!!!!!
10/10/2019 10:11,5,Excellent!,I was able to bring my phone to school. 
9/30/2019 10:11,5,Excellent!,I'm supposed to meet my PAL soon.
2/4/2020 10:13,5,Excellent!,My dad comes home tomorrow.
2/7/2020 10:10,5,Excellent!,My dad got to drop me off at school for the first time in over  month.
10/24/2019 9:48,5,Excellent!,Tomorrow is friday so I get to go to the fall festival.
1/14/2020 10:09,5,Excellent!,I have 2 field trips tomorrow.
2/3/2020 10:26,5,Fair,I just do.
2/24/2020 10:08,5,Fair,I just do.
8/27/2019 10:14,5,Fair,my legs hurt from volleyball yesterday
1/7/2020 11:17,5,Fair,It's just that type of day
1/9/2020 10:58,5,Fair,I did not spend as much time on my website as I would like I  forgot what I was doing please don't show it.more pictures 
1/9/2020 10:13,5,Fair,Nothing bad has happened to me yet.
1/10/2020 10:11,5,Fair,I just don't feel like doing anything.
1/22/2020 10:55,5,Fair,It is just one of those days.
1/28/2020 10:07,5,Fair,I just do.
2/12/2020 10:51,5,Fair,My arm itches and I can't do nothing about it 
2/18/2020 11:00,5,Fair,I just do
2/24/2020 10:51,5,Fair,I just do.
2/27/2020 10:52,5,Fair,I just do.
3/4/2020 10:55,5,Fair,I just do.
8/27/2019 10:59,5,Fair,my legs hurt from practice
9/3/2019 10:11,5,Fair,cause i can never get here on time
8/26/2019 10:23,5,Good,i feel this way beacuse I am happy to be here 
9/12/2019 10:13,5,Good,I feel this way because i am excited for the game today.
9/27/2019 10:11,5,Good,i feel this way because it is friday
9/16/2019 10:11,5,Good,i get to go and get new colors on my braces.
3/2/2020 10:33,5,Good,I just do 
2/26/2020 10:09,5,Good,I just do.
3/4/2020 10:10,5,Good,i just do.
9/10/2019 18:45,5,Good,I just met a new friend.
9/24/2019 10:12,5,Good,I think my sunburn is getting beter.
2/28/2020 10:09,5,Good,Its friday.??
10/21/2019 10:24,5,Good,My high school pall is coming.
9/26/2019 10:12,5,Good,We have a volleyball game later. 
1/8/2020 10:09,5,Good, My friend shared her food with me.
1/8/2020 10:54,5,Good,I just feel that way.
1/16/2020 10:15,5,Good,I feel this way because I get to level early in 4th I think.
1/17/2020 10:55,5,Good,I'm worried about my dog.
1/17/2020 10:42,5,Good,I goy to decorate a aloe vera plant for my GrandPa 
1/21/2020 10:08,5,Good,I was in group so I did not get to do the assignment.
1/22/2020 10:09,5,Good,I just feel that way.
1/27/2020 10:56,5,Good,I just feel that way.
1/28/2020 10:57,5,Good,I just do.
1/30/2020 10:56,5,Good,I just do.
1/30/2020 10:09,5,Good,I'm excited to be a swimmer for Roosevelt.
1/31/2020 10:53,5,Good,I get to read and it actually be somewhat fun.
2/3/2020 10:57,5,Good,I just do.
2/26/2020 10:53,5,Good,I just do.
2/28/2020 10:48,5,Good,I just do.
3/2/2020 10:51,5,Good,I just do.
8/26/2019 11:03,5,Good,I am kinda bored.
8/28/2019 10:56,5,Good,i have my apple juice
8/29/2019 10:57,5,Good,for the feldtrip 
9/10/2019 10:55,5,Good,I just made a new friend.
9/11/2019 11:08,5,Good,i am going to the football game
9/12/2019 10:43,5,Good,ready for the vollyball game later.
9/13/2019 10:51,5,Good,i might go to skate land with friends. 
9/16/2019 10:57,5,Good,I cant wait for lunch.
9/24/2019 10:55,5,Good,I ready for lunch
9/26/2019 10:57,5,Good,we have a volleyball game later.
10/2/2019 10:58,5,Good,I'm strangely ready for practice.
10/21/2019 10:43,5,Good,I got to talk to my PALL.
10/15/2019 10:11,5,Option 306,I can't stop thinking about my older sister
9/18/2019 10:16,5,Option 306,"I can't wait for the volleyball practice,the game tomorrow,or on the weekend I get to see my cousin kids."
10/2/2019 10:13,5,Option 306,I did not get to be a head in 2nd per because of the pep rally.
9/9/2019 10:12,5,Option 306,"I don""t know if i like DATA anymore."
2/27/2020 10:14,5,Option 306,I don't have a nabor 
10/1/2019 10:11,5,Option 306,I feel that I cant get more time with my grandpa who has cancer
2/11/2020 10:26,5,Option 306,I fractured my wrist bad.
2/21/2020 10:26,5,Option 306,I just do.
10/22/2019 10:10,5,Option 306,i need to go to the councilors to get my schulde changed.
9/4/2019 10:13,5,Option 306,i never get here on time from mrs burciaga
10/23/2019 9:41,5,Option 306,"Idid not want to wake up today,because I was so tired."
9/17/2019 10:13,5,Option 306,My ex is being clingy.
9/23/2019 10:10,5,Option 306,My face and arms hurt because I got sunburnt.
9/25/2019 10:28,5,Option 306,My sunburn is being a pain.
10/17/2019 10:09,5,Option 306,This sub keeps giving me the death look.
2/10/2020 10:09,5,Option 306,Today is the first day of track and golf.
10/9/2019 10:19,5,Option 306,we are a head in mrs.Burciaga so i can't talk to anyone about what happens in chapter 10 and 11.
1/7/2020 10:10,5,Option 306,I don't wanna be here.
1/6/2020 10:53,5,Option 306,I'm STARVING!!!! 
1/6/2020 10:10,5,Option 306,Yesterday was 2 months ago my Grandpa passed away. 
1/13/2020 10:55,5,Option 306,Jeorge messed with my floder and now its not in finder and I can't even open it.
1/13/2020 10:06,5,Option 306,I forgot my chips at home.
1/24/2020 10:08,5,Option 306,Today is my friends last day.
1/24/2020 10:42,5,Option 306,My friend is moving today is his last day.
1/31/2020 10:08,5,Option 306,I would rather be reading my favorite book like I was last class.
2/4/2020 10:52,5,Option 306,I'm really hungry.
2/6/2020 10:13,5,Option 306,the mac. was loading and restarting the whole time when one ended another started.
2/10/2020 10:55,5,Option 306,I'm nervous for track later and I'm hungry.
2/11/2020 10:50,5,Option 306, My wrist hurts.
2/21/2020 10:52,5,Option 306,I just do.
9/4/2019 10:54,5,Option 306,ny
9/9/2019 10:56,5,Option 306,im not sure if i want to stay on DATA
9/17/2019 10:55,5,Option 306,My ex is being clingy.
9/18/2019 10:29,5,Option 306,next door there was a fight with some 6th grader in like 2 of mt classes.
9/23/2019 10:54,5,Option 306,My face hurts.
9/25/2019 10:56,5,Option 306,I think I have short-term memory loss.
9/27/2019 10:55,5,Option 306,i cant find the right awancer
9/30/2019 10:56,5,Option 306,Im not good with computers.
10/1/2019 10:53,5,Option 306,I'm scared about the project on the camera.
10/9/2019 11:10,5,Option 306,My throat still hurts.
10/15/2019 10:59,5,Option 306,I'm worried what my dad will say about my crush.
10/17/2019 10:29,5,Option 306,I could not get the thing to open so that i can try to fix it.
10/18/2019 11:00,5,Option 306,I'm so hungry i can't wait for lunch.
10/25/2019 10:45,5,Option 306,I Would rather be anywhere else asleep and when i wake up wverything will be back to normal.
10/28/2019 9:59,5,Option 306,I need to talk to Mr.Allen.
10/30/2019 9:56,5,Fair,I feel better because WE were able to fix the website.
11/1/2019 9:57,5,Excellent,Its the weekend in a couple of hours.
11/4/2019 10:53,5,Option 306,I COULD NOT FIGURE OUT THE WEBSITE LAST PERIOD.
11/5/2019 11:00,5,Fair,I finally finished the project.
11/6/2019 10:59,5,Option 306,My grandpa passed away yesterday.
11/7/2019 10:46,5,Option 306,I miss my grandpa.
11/8/2019 10:56,5,Excellent,It's friday.
11/12/2019 10:52,5,Option 306,I'm bored.
11/13/2019 10:54,5,Option 306,I'm not ready for the holidays.
11/14/2019 10:57,5,Option 306,Jeorge is SOOOOOOOOO annoying.
10/25/2019 10:10,5,Option 306,I just don't feel like talking to anyone even if i'm forced.
10/28/2019 9:10,5,Option 306,I need to talk to mr.Allen
10/30/2019 9:11,5,Option 306,the past week and this week I have been feeling rely stress full.
10/31/2019 9:11,5,Excellent!,"IM leaving early today but i have to come back . 
.-."
11/1/2019 9:12,5,Excellent!,Its friday  and the last day of tryouts and coach is bring chocolate cake for after practice. 
11/4/2019 10:12,5,Fair,I feel this way because my lips are chapped but i did not bring chapstick
11/5/2019 10:11,5,Option 306,MY leg hurts .
11/6/2019 10:10,5,Option 306,My grandpa passed away yesterday.
11/7/2019 10:11,5,Option 306,I think someone likes me?
11/8/2019 10:09,5,Excellent!,Its Friday.
11/12/2019 10:09,5,Option 306,I asked my crush out?
11/13/2019 10:50,5,Option 306,I am not ready for the Holidays.
11/14/2019 10:07,5,Excellent!,Because its game day
11/14/2019 10:07,5,Excellent!,Because its game day
11/14/2019 10:57,5,Option 306,Jeorge is SOOOOOOOOO annoying.
11/13/2019 10:50,5,Option 306,I am not ready for the Holidays.
2/13/2020 11:30,5,Excellent,Im gonna get my friends something for  tomorrow.
1/27/2020 10:57,5,Good,I just do.
2/7/2020 10:53,5,Excellent,I just do.
9/27/2019 8:24,7,Excellent!,I'm in a very good mood today.
8/29/2019 8:24,7,Fair,I'm not that tired today.
